record_id,claim_text,claim_text_normalized,model_text,rating,verdict_text,rating_label,publisher,review_url,review_url_normalized,language,review_date,source_keyword,collected_at,source_tool,raw_source_file,raw_row_index
29df5afa0999bf47,12 milhões que já desistiram de procurar emprego.,12 milhoes que ja desistiram de procurar emprego,12 MILHOES QUE JA DESISTIRAM DE PROCURAR EMPREGO,FALSO,FALSO,false,Aos Fatos,https://aosfatos.org/noticias/marina-silva-erra-dados-de-emprego-e-financiamento-de-campanha,https://aosfatos.org/noticias/marina-silva-erra-dados-de-emprego-e-financiamento-de-campanha,pt,2018-05-28,campanha,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_campanha.csv,62
54a77430b7e4a2f8,2022: Ministros do TSE consideram crime diminuir preço de combustível em ano eleitoral. 2026: Entenda o pacote de Lula para reduzir o preço do diesel,2022 ministros do tse consideram crime diminuir preco de combustivel em ano eleitoral 2026 entenda o pacote de lula para reduzir o preco do diesel,2022 MINISTROS DO TSE CONSIDERAM CRIME DIMINUIR PRECO DE COMBUSTIVEL EM ANO ELEITORAL 2026 ENTENDA O PACOTE DE LULA PARA REDUZIR O PRECO DO DIESEL,DISTORCIDO,DISTORCIDO,mixed,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/20/tse-nao-decidiu-que-reduzir-combustivel-em-ano-eleitoral-e-crime.ghtm,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/20/tse-nao-decidiu-que-reduzir-combustivel-em-ano-eleitoral-e-crime.ghtm,pt,2026-03-20,eleição | lula,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_eleicao.csv | query_lula.csv,16 | 88
0c3d16d061ae9b79,"“25 de milhões de pessoas estiveram nas ruas ontem para apoiar o presidente eleito (…). Quando, por algum milagre, um jornalista ousa publicar a verdade, vem a order da ‘diretoria’ de apagar e cancelar a notícia.”",25 de milhoes de pessoas estiveram nas ruas ontem para apoiar o presidente eleito quando por algum milagre um jornalista ousa publicar a verdade vem a order da diretoria de apagar e cancelar a noticia,25 DE MILHOES DE PESSOAS ESTIVERAM NAS RUAS ONTEM PARA APOIAR O PRESIDENTE ELEITO QUANDO POR ALGUM MILAGRE UM JORNALISTA OUSA PUBLICAR A VERDADE VEM A ORDER DA DIRETORIA DE APAGAR E CANCELAR A NOTICIA,ERRADO,ERRADO,false,Observador,https://observador.pt/factchecks/fact-check-site-de-noticias-g1-apagou-artigo-favoravel-a-bolsonaro,https://observador.pt/factchecks/fact-check-site-de-noticias-g1-apagou-artigo-favoravel-a-bolsonaro,pt,2021-11-05,eleição,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_eleicao.csv,175
4e48958c1d306bfb,51% dos universitários brasileiros são negros ou pardos,51 dos universitarios brasileiros sao negros ou pardos,51 DOS UNIVERSITARIOS BRASILEIROS SAO NEGROS OU PARDOS,NÃO_É_BEM_ASSIM,NÃO_É_BEM_ASSIM,mixed,Aos Fatos,https://aosfatos.org/noticias/no-inicio-do-segundo-turno-bolsonaro-e-lula-citam-informacoes-falsas-sobre-fome-educacao-e-ministros-do-stf,https://aosfatos.org/noticias/no-inicio-do-segundo-turno-bolsonaro-e-lula-citam-informacoes-falsas-sobre-fome-educacao-e-ministros-do-stf,pt,2022-07-10,segundo turno,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_segundo_turno.csv,16
dd5268badf31ea5d,6 mil urnas foram trocadas em Fortaleza,6 mil urnas foram trocadas em fortaleza,6 MIL URNAS FORAM TROCADAS EM FORTALEZA,FALSO,FALSO,false,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/10/27/e-falso-que-seis-mil-urnas-foram-substituidas-em-fortaleza.htm,https://noticias.uol.com.br/confere/ultimas-noticias/2024/10/27/e-falso-que-seis-mil-urnas-foram-substituidas-em-fortaleza.htm,pt,2024-10-27,urna,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_urna.csv,28
fa4947fc90a6a72e,6 mil urnas foram trocadas no segundo turno das eleições de 2024 em Fortaleza,6 mil urnas foram trocadas no segundo turno das eleicoes de 2024 em fortaleza,6 MIL URNAS FORAM TROCADAS NO SEGUNDO TURNO DAS ELEICOES DE 2024 EM FORTALEZA,FALSO,FALSO,false,AFP Checamos,https://checamos.afp.com/doc.afp.com.36L762V,https://checamos.afp.com/doc.afp.com.36L762V,pt,2024-10-29,urna,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_urna.csv,30
dd21c45e91d974b1,"7,2 milhões de votos foram anulados pelas urnas nas eleições de 2018.",7 2 milhoes de votos foram anulados pelas urnas nas eleicoes de 2018,7 2 MILHOES DE VOTOS FORAM ANULADOS PELAS URNAS NAS ELEICOES DE 2018,FALSO,FALSO,false,Aos Fatos,https://aosfatos.org/noticias/e-falso-que-72-milhoes-de-votos-foram-anulados-pelas-urnas-na-eleicao-de-2018,https://aosfatos.org/noticias/e-falso-que-72-milhoes-de-votos-foram-anulados-pelas-urnas-na-eleicao-de-2018,pt,2020-09-28,urna,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_urna.csv,228
c06178d9e6ae5fcb,88 milhões de pessoas fizeram PIX para Bolsonaro,88 milhoes de pessoas fizeram pix para bolsonaro,88 MILHOES DE PESSOAS FIZERAM PIX PARA BOLSONARO,FALSO,FALSO,false,Estadão,https://estadao.com.br/estadao-verifica/bolsonaro-nao-recebeu-doacoes-por-pix-de-88-milhoes-de-cpfs-diferentes,https://estadao.com.br/estadao-verifica/bolsonaro-nao-recebeu-doacoes-por-pix-de-88-milhoes-de-cpfs-diferentes,pt,2023-04-07,bolsonaro,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_bolsonaro.csv,229
e36b9eb0d7c6a59a,91% da população brasileira quer o voto impresso,91 da populacao brasileira quer o voto impresso,91 DA POPULACAO BRASILEIRA QUER O VOTO IMPRESSO,FALSO,FALSO,false,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2021/07/13/e-enganoso-que-enquete-sobre-voto-impresso-reflita-opiniao-da-populacao.htm,https://noticias.uol.com.br/comprova/ultimas-noticias/2021/07/13/e-enganoso-que-enquete-sobre-voto-impresso-reflita-opiniao-da-populacao.htm,pt,2021-07-13,e verdade voto impresso | voto impresso,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_e_verdade_voto_impresso.csv | query_voto_impresso.csv,15 | 31
dceabda4432b3725,a Anvisa está com os mesmos diretores da época do PT,a anvisa esta com os mesmos diretores da epoca do pt,A ANVISA ESTA COM OS MESMOS DIRETORES DA EPOCA DO PT,FAKE,FAKE,false,O GLOBO,https://oglobo.globo.com/fato-ou-fake/e-fake-que-atual-diretoria-da-anvisa-seja-mesma-de-governos-do-pt-24730111,https://oglobo.globo.com/fato-ou-fake/e-fake-que-atual-diretoria-da-anvisa-seja-mesma-de-governos-do-pt-24730111,pt,2020-05-11,pt,2026-06-03T00:40:15.355960+00:00,factcheckexplorer,query_pt.csv,121
